sandstorm_budget,initial_water,initial_food,robust_score,baseline_failure_rate,baseline_mean_penalized_value,baseline_p05,adverse_failure_rate,adverse_mean_penalized_value,adverse_p05
7,220,230,8380.065,0.0,8898.1,7305.0,0.0,8380.065,7145.0
3,220,190,8374.27,0.003,9078.08,7510.0,0.008,8534.27,7345.0
7,240,230,8373.685,0.0,8861.405,7330.0,0.0,8373.685,7100.0
3,190,230,8372.5725,0.005,9384.26,8142.5,0.017,8712.5725,7220.0
4,220,200,8368.435,0.002,9043.555,7530.0,0.007,8508.435,7300.0
6,210,240,8366.0825,0.0,8922.42,7280.0,0.0,8366.0825,7120.0
3,260,200,8362.38,0.005,9398.6375,8125.0,0.019,8742.38,7200.0
5,200,240,8362.38,0.0,8947.42,7305.0,0.001,8382.38,7145.0
3,230,190,8349.47,0.003,9053.155,7485.0,0.008,8509.47,7320.0
4,230,200,8343.61,0.002,9018.605,7505.0,0.007,8483.61,7275.0
7,220,240,8341.88,0.0,8895.665,7255.0,0.0,8341.88,7095.0
4,190,220,8339.3125,0.002,9054.62,7430.0,0.006,8459.3125,7210.0
3,240,190,8324.67,0.003,9028.23,7460.0,0.008,8484.67,7295.0
8,240,240,8323.685,0.0,8811.405,7280.0,0.0,8323.685,7050.0
3,190,240,8323.4225,0.005,9334.51,8092.5,0.017,8663.4225,7170.0
4,240,200,8318.785,0.002,8993.655,7480.0,0.007,8458.785,7250.0
6,210,250,8316.0825,0.0,8872.42,7230.0,0.0,8316.0825,7070.0
5,200,250,8312.43,0.0,8897.42,7255.0,0.001,8332.43,7095.0
8,230,240,8305.065,0.0,8823.1,7230.0,0.0,8305.065,7070.0
3,250,190,8299.87,0.003,9003.305,7435.0,0.008,8459.87,7270.0
4,250,200,8293.96,0.002,8968.705,7455.0,0.007,8433.96,7225.0
7,220,250,8291.88,0.0,8847.42,7205.0,0.0,8291.88,7045.0
4,190,230,8289.6125,0.002,9004.72,7380.0,0.006,8409.6125,7160.0
3,260,190,8275.07,0.003,8978.38,7410.0,0.008,8435.07,7245.0
3,190,250,8274.2725,0.005,9284.76,8042.5,0.017,8614.2725,7120.0
4,260,200,8269.135,0.002,8943.755,7430.0,0.007,8409.135,7200.0
4,190,190,8268.13,0.001,8729.87,7575.0,0.0,8288.13,7420.0
8,230,250,8266.88,0.0,8820.665,7180.0,0.0,8266.88,7020.0
6,210,260,8266.0825,0.0,8822.42,7180.0,0.0,8266.0825,7020.0
5,200,260,8262.48,0.0,8847.42,7205.0,0.001,8282.48,7045.0
3,270,190,8250.27,0.003,8953.455,7385.0,0.008,8410.27,7220.0
4,200,190,8243.13,0.001,8704.895,7550.0,0.0,8263.13,7395.0
7,220,260,8241.88,0.0,8797.42,7155.0,0.0,8241.88,6995.0
4,190,240,8239.9125,0.002,8954.82,7330.0,0.006,8359.9125,7110.0
3,190,260,8225.1225,0.005,9235.01,7992.5,0.017,8565.1225,7070.0
4,210,190,8218.13,0.001,8679.92,7525.0,0.0,8238.13,7370.0
6,210,270,8216.0825,0.0,8772.42,7130.0,0.0,8216.0825,6970.0
5,200,270,8212.53,0.0,8797.42,7155.0,0.001,8232.53,6995.0
4,220,190,8193.13,0.001,8654.945,7500.0,0.0,8213.13,7345.0
7,220,270,8191.88,0.0,8747.42,7105.0,0.0,8191.88,6945.0
4,190,250,8190.2125,0.002,8904.92,7280.0,0.006,8310.2125,7060.0
5,200,200,8190.125,0.001,8654.945,7500.0,0.001,8210.125,7345.0
3,190,270,8175.9725,0.005,9185.26,7942.5,0.017,8515.9725,7020.0
4,230,190,8168.13,0.001,8629.97,7475.0,0.0,8188.13,7320.0
