player,route_index,route,voluntary_waits,initial_water,initial_food,samples,failures,failure_rate,failure_wilson_low,failure_wilson_high,mean_value,training_risk_budget,training_feasible
1,57,1-6-11-12-13-14-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,58,1-6-11-12-13-18-19-20-25,0,215,215,1500,42,0.028,0.020781020505694248,0.037630362094157085,7073.6466666666665,0.005,False
1,58,1-6-11-12-13-18-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,59,1-6-11-12-13-18-19-24-25,0,215,215,1500,107,0.07133333333333333,0.05937394629575595,0.08548271897501297,6683.471666666666,0.005,False
1,59,1-6-11-12-13-18-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,60,1-6-11-12-13-18-23-24-25,0,215,215,1500,295,0.19666666666666666,0.17733747985131462,0.2175455414522621,5743.081666666667,0.005,False
1,60,1-6-11-12-13-18-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,61,1-6-11-12-17-18-19-20-25,0,215,215,1500,42,0.028,0.020781020505694248,0.037630362094157085,7073.6466666666665,0.005,False
1,61,1-6-11-12-17-18-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,62,1-6-11-12-17-18-19-24-25,0,215,215,1500,107,0.07133333333333333,0.05937394629575595,0.08548271897501297,6683.471666666666,0.005,False
1,62,1-6-11-12-17-18-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,63,1-6-11-12-17-18-23-24-25,0,215,215,1500,295,0.19666666666666666,0.17733747985131462,0.2175455414522621,5743.081666666667,0.005,False
1,63,1-6-11-12-17-18-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,64,1-6-11-12-17-22-23-24-25,0,215,215,1500,387,0.258,0.2364959631162979,0.2807403813522699,5253.3516666666665,0.005,False
1,64,1-6-11-12-17-22-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,65,1-6-11-16-17-18-19-20-25,0,215,215,1500,107,0.07133333333333333,0.05937394629575595,0.08548271897501297,6683.431666666666,0.005,False
1,65,1-6-11-16-17-18-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,66,1-6-11-16-17-18-19-24-25,0,215,215,1500,296,0.19733333333333333,0.17797685915991493,0.21823608956936827,5739.71,0.005,False
1,66,1-6-11-16-17-18-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,67,1-6-11-16-17-18-23-24-25,0,215,215,1500,399,0.266,0.24425731242371984,0.28893816115332516,5199.261666666666,0.005,False
1,67,1-6-11-16-17-18-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,68,1-6-11-16-17-22-23-24-25,0,215,215,1500,625,0.4166666666666667,0.3919613920794614,0.44179767970723555,4118.328333333333,0.005,False
1,68,1-6-11-16-17-22-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,69,1-6-11-16-21-22-23-24-25,0,215,215,1500,1033,0.6886666666666666,0.6647771529692504,0.7115923085056678,2194.185,0.005,False
1,69,1-6-11-16-21-22-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
2,0,1-2-3-4-5-10-15-20-25,0,215,215,1500,1033,0.6886666666666666,0.6647771529692504,0.7115923085056678,2194.185,0.005,False
2,0,1-2-3-4-5-10-15-20-25,1,225,230,1500,971,0.6473333333333333,0.622805375831941,0.6711085852491789,2420.1033333333335,0.005,False
2,1,1-2-3-4-9-10-15-20-25,0,215,215,1500,625,0.4166666666666667,0.3919613920794614,0.44179767970723555,4118.328333333333,0.005,False
2,1,1-2-3-4-9-10-15-20-25,1,225,230,1500,608,0.4053333333333333,0.38076036048829287,0.43038994506139483,4099.843333333333,0.005,False
2,2,1-2-3-4-9-14-15-20-25,0,215,215,1500,399,0.266,0.24425731242371984,0.28893816115332516,5199.261666666666,0.005,False
2,2,1-2-3-4-9-14-15-20-25,1,225,230,1500,363,0.242,0.22100243001505274,0.26431565623656084,5240.626666666667,0.005,False
2,3,1-2-3-4-9-14-19-20-25,0,215,215,1500,296,0.19733333333333333,0.17797685915991493,0.21823608956936827,5739.71,0.005,False
2,3,1-2-3-4-9-14-19-20-25,1,225,230,1500,182,0.12133333333333333,0.10576980776396167,0.13883141443478914,6113.28,0.005,False
2,4,1-2-3-4-9-14-19-24-25,0,215,215,1500,107,0.07133333333333333,0.05937394629575595,0.08548271897501297,6683.431666666666,0.005,False
2,4,1-2-3-4-9-14-19-24-25,1,225,230,1500,94,0.06266666666666666,0.05148363681474642,0.07608397192183898,6590.623333333333,0.005,False
2,5,1-2-3-8-9-10-15-20-25,0,215,215,1500,387,0.258,0.2364959631162979,0.2807403813522699,5253.3516666666665,0.005,False
2,5,1-2-3-8-9-10-15-20-25,1,225,230,1500,380,0.25333333333333335,0.2319729333194002,0.2759539191692227,5164.466666666666,0.005,False
2,6,1-2-3-8-9-14-15-20-25,0,215,215,1500,295,0.19666666666666666,0.17733747985131462,0.2175455414522621,5743.081666666667,0.005,False
2,6,1-2-3-8-9-14-15-20-25,1,225,230,1500,178,0.11866666666666667,0.10326688365908077,0.13601462883684434,6130.173333333333,0.005,False
2,7,1-2-3-8-9-14-19-20-25,0,215,215,1500,107,0.07133333333333333,0.05937394629575595,0.08548271897501297,6683.471666666666,0.005,False
2,7,1-2-3-8-9-14-19-20-25,1,225,230,1500,89,0.059333333333333335,0.04846576891093947,0.07245220269711383,6611.143333333333,0.005,False
2,8,1-2-3-8-9-14-19-24-25,0,215,215,1500,42,0.028,0.020781020505694248,0.037630362094157085,7073.6466666666665,0.005,False
2,8,1-2-3-8-9-14-19-24-25,1,225,230,1500,34,0.02266666666666667,0.016265302571047073,0.03150666062315286,6950.01,0.005,False
2,9,1-2-3-8-13-14-15-20-25,0,215,215,1500,295,0.19666666666666666,0.17733747985131462,0.2175455414522621,5743.081666666667,0.005,False
2,9,1-2-3-8-13-14-15-20-25,1,225,230,1500,178,0.11866666666666667,0.10326688365908077,0.13601462883684434,6130.173333333333,0.005,False
